ZIP Code,School ID,Safety Score,Environment Score,Instruction Score,Rate of Misconducts (per 100 students) ,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,College Enrollment (number of students) ,General Services Route ,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Ward,Police District
60636,610046.4285714285,31.53846153846154,49.53846153846154,51.15384615384615,39.32857142857143,14.441666666666668,9.491666666666665,-0.125,-0.2999999999999999,462.64285714285717,43.0,150000000000000.0,1165623.8692142856,1861932.938142857,41.77673134999999,-87.66837897357144,66.92857142857143,15.642857142857142,7.071428571428571
60637,610053.0,35.8,48.0,50.53333333333333,30.77058823529412,11.506250000000001,9.5,-0.08000000000000003,-0.3733333333333333,447.8235294117647,44.8235294117647,150000000000000.0,1183457.2302941177,1862991.404764706,41.77923850235294,-87.60297048764707,46.529411764705884,13.0,2.823529411764706
60638,609962.1111111111,61.0,46.125,48.0,16.21111111111111,25.442857142857147,18.67142857142857,0.1285714285714286,-0.2714285714285714,737.4444444444445,44.0,150000000000000.0,1136686.3374444444,1865977.6662222221,41.78839513888889,-87.77436736,59.55555555555556,21.88888888888889,8.0
60639,609985.25,45.44444444444444,42.888888888888886,37.111111111111114,8.691666666666666,14.033333333333331,9.6,-0.41111111111111115,-0.3666666666666667,1034.4166666666667,29.833333333333332,150000000000000.0,1140843.6884166666,1914270.3646666666,41.92084169333334,-87.7579381425,20.0,32.5,25.0
60640,610179.8571428572,55.57142857142857,56.285714285714285,50.285714285714285,18.557142857142853,19.057142857142857,12.600000000000003,0.014285714285714282,-0.0714285714285714,501.14285714285717,31.857142857142858,150000000000000.0,1166923.8664285713,1932013.5639999998,41.96901059571428,-87.66160314142859,13.714285714285714,45.857142857142854,19.428571428571427
60641,609945.8,49.666666666666664,43.666666666666664,37.333333333333336,7.800000000000002,26.442857142857143,21.771428571428576,0.18571428571428572,0.6857142857142858,1106.1,29.4,150000000000000.0,1144077.4422,1923886.1816000002,41.947168808,-87.74581494200001,16.3,35.0,18.2
60642,610085.0,50.0,27.0,23.0,58.3,1.3,0.0,-1.8,-1.6,91.0,35.0,150000000000000.0,1167232.603,1905230.9330000002,41.89551132,-87.66123981,24.0,27.0,13.0
60643,610079.25,44.266666666666666,41.8,46.13333333333333,22.375,20.073333333333334,17.066666666666666,0.5733333333333334,0.4333333333333334,496.25,49.0,150000000000000.0,1168552.337,1833253.2153749997,41.697967283125,-87.65846823812501,68.3125,25.9375,17.75
60644,597019.5,40.5,51.214285714285715,56.285714285714285,26.200000000000003,13.708333333333334,9.549999999999999,0.5090909090909089,0.4636363636363636,408.0,36.0,150000000000000.0,1140295.7759375,1900117.3799375,41.88201529624999,-87.76029879250001,25.0,28.875,15.0
60645,610030.4,71.6,62.8,60.2,6.24,39.44,34.4,0.1,0.07999999999999999,788.8,32.0,150000000000000.0,1156934.6434,1946232.1395999999,42.008236072,-87.69794519199999,2.0,50.0,24.0
60646,610070.25,90.25,64.75,59.75,2.4,47.925000000000004,37.3,0.7,0.1,493.25,30.25,150000000000000.0,1138383.4885,1941440.8090000001,41.9954452775,-87.766317375,11.5,41.5,16.25
60647,609996.8461538461,47.75,44.166666666666664,39.083333333333336,15.04615384615384,15.96153846153846,9.3,-0.5307692307692308,-0.4923076923076924,706.3846153846154,33.69230769230769,150000000000000.0,1154791.1053076924,1913853.0936153845,41.91942890538462,-87.70670316230768,22.076923076923077,23.76923076923077,18.23076923076923
